index,h(m) see level,lat,lon,yaw(degree),roll(degree),pitch(degree)
1,114.8915,49.2573355,-123.2430467,119.1200027,0.129999995,0.119999997
2,115.01439,49.2573355,-123.2430467,119.1200027,0.479999989,-7.699999809
3,115.01439,49.2573208,-123.243012,119.1100006,0.479999989,-8.210000038
4,115.01439,49.2573208,-123.243012,124.0400009,-0.899999976,-11.93000031
5,115.138,49.2573208,-123.243012,123.4800034,-0.610000014,-13.13000011
6,115.138,49.2573016,-123.2429637,122.1399994,0.129999995,-14.39000034
7,115.138,49.2573016,-123.2429637,121.5699997,0.280000001,-14.93999958
8,115.18416,49.2573016,-123.2429637,121.8899994,0,-15.21000004
9,115.18416,49.2572704,-123.242891,122.3499985,-0.230000004,-15.5
10,115.18416,49.2572704,-123.242891,122.4499969,-0.330000013,-15.80000019
11,115.22521,49.2572704,-123.242891,122.2399979,-0.219999999,-16.09000015
12,115.22521,49.2572432,-123.2428277,122.0299988,-0.129999995,-16.23999977
13,115.22521,49.2572432,-123.2428277,122.0100021,-0.079999998,-16.45999908
14,115.17656,49.2572432,-123.2428277,122.1100006,-0.090000004,-16.61000061
15,115.17656,49.2572079,-123.2427418,122.1900024,-0.119999997,-16.78000069
16,115.17656,49.2572079,-123.2427418,122.1999969,-0.189999998,-16.87999916
17,115.18006,49.2572079,-123.2427418,122.1600037,-0.119999997,-17.02000046
18,115.18006,49.257175,-123.2426609,122.1399994,-0.100000001,-17.06999969
19,115.18006,49.257175,-123.2426609,122.1699982,-0.150000006,-17.22999954
20,115.0856,49.257175,-123.2426609,122.2099991,-0.100000001,-17.37999916
21,115.0856,49.257151,-123.2425955,122.2300034,-0.119999997,-17.40999985
22,115.0856,49.257151,-123.2425955,122.2399979,-0.090000004,-17.45000076
23,114.96607,49.257151,-123.2425955,122.2399979,-0.090000004,-17.59000015
24,114.96607,49.2571252,-123.2425313,122.25,-0.119999997,-17.59000015
25,114.96607,49.2571252,-123.2425313,122.2699966,-0.029999999,-17.65999985
26,114.90685,49.2571252,-123.2425313,122.2799988,-0.090000004,-17.71999931
27,114.90685,49.2570944,-123.242463,122.2799988,-0.100000001,-17.76000023
28,114.90685,49.2570944,-123.242463,122.2900009,0,-17.79999924
29,114.92914,49.2570944,-123.242463,122.2900009,-0.01,-17.89999962
30,114.92914,49.2570647,-123.242397,122.2900009,-0.100000001,-17.87000084
31,114.92914,49.2570647,-123.242397,122.2900009,-0.079999998,-17.95000076
32,115.06904,49.2570647,-123.242397,122.2900009,-0.029999999,-18.01000023
33,115.06904,49.2570368,-123.2423303,122.2900009,0.029999999,-17.97999954
34,115.06904,49.2570368,-123.2423303,122.3000031,0.02,-18
35,115.15148,49.2570368,-123.2423303,122.3099976,0.01,-18.05999947
36,115.15148,49.2570118,-123.2422659,122.3300018,0.039999999,-18.18000031
37,115.15148,49.2570118,-123.2422659,122.3300018,0.029999999,-18.13999939
38,115.32769,49.2570118,-123.2422659,122.3300018,0,-18.13999939
39,115.32769,49.2569874,-123.2422088,122.3300018,0.01,-18.11000061
40,115.32769,49.2569874,-123.2422088,122.3199997,0.02,-18.12999916
41,115.45347,49.2569874,-123.2422088,122.3300018,0.090000004,-18.20999908
42,115.45347,49.2569627,-123.2421524,122.3300018,0.07,-18.15999985
43,115.45347,49.2569627,-123.2421524,122.3300018,0.079999998,-18.20999908
44,115.51449,49.2569627,-123.2421524,122.3300018,0.07,-18.25
45,115.51449,49.2569399,-123.2420954,122.3199997,0.090000004,-18.22999954
46,115.51449,49.2569399,-123.2420954,122.3199997,0.059999999,-18.23999977
47,115.45934,49.2569399,-123.2420954,122.3199997,0.109999999,-18.20999908
48,115.45934,49.256922,-123.2420455,122.3300018,0.100000001,-18.34000015
49,115.45934,49.256922,-123.2420455,122.3300018,0.150000006,-18.30999947
