index,h(m) see level,lat,lon,yaw(deg),roll(deg),pitch(deg)
1,114.9216,49.2573464,-123.2430668,119.1399994,0.180000007,0.140000001
2,114.9216,49.2573263,-123.2430227,119.1299973,0.49000001,-7.929999828
3,114.98599,49.2573263,-123.2430227,119.1299973,0.400000006,-8.279999733
4,114.98599,49.2573263,-123.2430227,122.9599991,-0.25999999,-10.90999985
5,114.98599,49.2573083,-123.2429809,123.0699997,-0.409999996,-13.56000042
6,115.0116,49.2573083,-123.2429809,121.8399963,0.180000007,-14.67000008
7,115.0116,49.2573083,-123.2429809,121.5599976,0.230000004,-15.05000019
8,115.0116,49.2572843,-123.2429288,121.9899979,0,-15.34000015
9,114.97884,49.2572843,-123.2429288,122.3899994,-0.330000013,-15.63000011
10,114.97884,49.2572843,-123.2429288,122.3899994,-0.319999993,-15.85999966
11,114.97884,49.2572661,-123.2428796,122.1600037,-0.109999999,-16.02000046
12,115.04421,49.2572661,-123.2428796,122.0100021,-0.059999999,-16.27000046
13,115.04421,49.2572661,-123.2428796,122.0400009,-0.109999999,-16.53000069
14,115.04421,49.2572512,-123.2428234,122.1399994,-0.209999993,-16.63999939
15,115.02056,49.2572512,-123.2428234,122.1900024,-0.200000003,-16.79999924
16,115.02056,49.2572512,-123.2428234,122.1900024,-0.109999999,-16.89999962
17,115.02056,49.2572301,-123.2427668,122.1699982,-0.059999999,-17.06999969
18,115.05093,49.2572301,-123.2427668,122.1699982,-0.119999997,-17.15999985
19,115.05093,49.2572301,-123.2427668,122.1999969,-0.119999997,-17.27000046
20,115.05093,49.2572093,-123.2427112,122.2200012,-0.109999999,-17.29999924
21,115.03566,49.2572093,-123.2427112,122.2300034,-0.140000001,-17.43000031
22,115.03566,49.2572093,-123.2427112,122.2300034,-0.07,-17.54999924
23,115.03566,49.2571871,-123.2426582,122.2300034,-0.109999999,-17.56999969
24,115.07786,49.2571871,-123.2426582,122.2399979,-0.059999999,-17.59000015
25,115.07786,49.2571871,-123.2426582,122.2600021,-0.059999999,-17.71999931
26,115.07786,49.257166,-123.2426131,122.2799988,-0.090000004,-17.72999954
27,115.09329,49.257166,-123.2426131,122.2799988,-0.02,-17.79000092
28,115.09329,49.257166,-123.2426131,122.2799988,-0.039999999,-17.84000015
29,115.09329,49.2571413,-123.2425576,122.2900009,-0.079999998,-17.87999916
30,115.24513,49.2571413,-123.2425576,122.3000031,0,-17.90999985
31,115.24513,49.2571413,-123.2425576,122.3000031,0,-17.97999954
32,115.24513,49.2571212,-123.2425129,122.3099976,-0.07,-17.93000031
33,115.35691,49.2571212,-123.2425129,122.3000031,-0.059999999,-18.02000046
34,115.35691,49.2571212,-123.2425129,122.2799988,-0.029999999,-18.07999992
35,115.35691,49.2570945,-123.2424559,122.2699966,0.050000001,-18.04000092
36,115.44943,49.2570945,-123.2424559,122.2900009,0.039999999,-18.04000092
37,115.44943,49.2570945,-123.2424559,122.3099976,0.02,-18.10000038
38,115.44943,49.2570746,-123.2424108,122.3199997,0.059999999,-18.21999931
39,115.55347,49.2570746,-123.2424108,122.3199997,0.059999999,-18.18000031
40,115.55347,49.2570746,-123.2424108,122.3300018,0.02,-18.19000053
41,115.55347,49.2570571,-123.2423687,122.3300018,0.029999999,-18.14999962
42,115.61515,49.2570571,-123.2423687,122.3199997,0.029999999,-18.17000008
43,115.61515,49.2570571,-123.2423687,122.3199997,0.090000004,-18.25
44,115.61515,49.2570412,-123.2423264,122.3199997,0.079999998,-18.19000053
45,115.73009,49.2570412,-123.2423264,122.3199997,0.090000004,-18.23999977
46,115.73009,49.2570412,-123.2423264,122.3199997,0.090000004,-18.27000046
47,115.73009,49.2570197,-123.2422691,122.3199997,0.109999999,-18.25
48,115.8095,49.2570197,-123.2422691,122.3199997,0.07,-18.26000023
49,115.8095,49.2570197,-123.2422691,122.3300018,0.129999995,-18.22999954
50,115.8095,49.2570016,-123.2422247,122.3300018,0.119999997,-18.36000061
51,115.90191,49.2570016,-123.2422247,122.3300018,0.140000001,-18.31999969
52,115.90191,49.2570016,-123.2422247,122.3300018,0.140000001,-18.29000092
53,115.90191,49.2569863,-123.2421815,122.3199997,0.100000001,-18.29000092
54,115.88857,49.2569863,-123.2421815,122.3099976,0.079999998,-18.34000015
55,115.88857,49.2569863,-123.2421815,122.3000031,0.059999999,-18.36000061
56,115.88857,49.256967,-123.2421344,122.2799988,0.100000001,-18.36000061
57,115.87783,49.256967,-123.2421344,122.2699966,0.059999999,-18.29999924
58,115.87783,49.256967,-123.2421344,122.2699966,0.100000001,-18.23999977
59,115.87783,49.2569497,-123.2420863,122.2600021,0.189999998,-17.89999962
60,115.85093,49.2569497,-123.2420863,122.2699966,0.180000007,-17.27000046
61,115.85093,49.2569497,-123.2420863,122.2900009,0.140000001,-16.44000053
62,115.85093,49.2569309,-123.2420425,122.3099976,0.140000001,-15.35000038
63,115.25418,49.2569309,-123.2420425,122.3399963,0.209999993,-14.17000008
64,115.25418,49.2569309,-123.2420425,122.3700027,0.140000001,-12.68000031
65,115.25418,49.2569193,-123.2420138,122.4100037,0.119999997,-10.89999962
