index,height (m) sea level,lat,lon,yaw(degree),roll(dgree),pitch(degree)
1,114.0500031,49.2573426,-123.2430615,119.1200027,0.079999998,0.100000001
2,114.9300003,49.2573426,-123.2430615,119.1100006,0.560000002,-8.020000458
3,114.9499969,49.2573275,-123.2430223,123.5299988,-0.620000005,-11.13000011
4,114.9599991,49.2573275,-123.2430223,124.0400009,-0.899999976,-12.44999981
5,114.9599991,49.2573275,-123.2430223,122.7300034,-0.230000004,-13.71000004
6,114.9599991,49.257308,-123.2429781,121.6100006,0.289999992,-14.77999973
7,114.9599991,49.257308,-123.2429781,121.5699997,0.209999993,-15.17000008
8,114.9599991,49.257308,-123.2429781,122.1200027,-0.159999996,-15.43999958
9,114.9700012,49.2572849,-123.2429303,122.4599991,-0.360000014,-15.68999958
10,114.9700012,49.2572849,-123.2429303,122.3600006,-0.200000003,-15.92000008
11,114.9700012,49.2572849,-123.2429303,122.1200027,-0.140000001,-16.12000084
12,114.9700012,49.2572588,-123.2428726,122.0299988,-0.090000004,-16.30999947
13,114.9700012,49.2572588,-123.2428726,122.0800018,-0.079999998,-16.42000008
14,114.9700012,49.2572588,-123.2428726,122.1699982,-0.189999998,-16.61000061
15,114.9700012,49.2572365,-123.2428179,122.1999969,-0.209999993,-16.84000015
16,114.9800034,49.2572365,-123.2428179,122.1800003,-0.200000003,-16.93000031
17,114.9800034,49.2572365,-123.2428179,122.1600037,-0.129999995,-17.06999969
18,114.9800034,49.2572365,-123.2428179,122.1699982,-0.059999999,-17.14999962
19,114.9800034,49.2572095,-123.2427484,122.1999969,-0.059999999,-17.29999924
20,114.9800034,49.2572095,-123.2427484,122.2300034,-0.140000001,-17.35000038
21,114.9800034,49.2572095,-123.2427484,122.2399979,-0.100000001,-17.46999931
22,114.9800034,49.2571856,-123.2426762,122.2399979,-0.07,-17.46999931
23,114.9800034,49.2571856,-123.2426762,122.25,-0.100000001,-17.60000038
24,114.9800034,49.2571856,-123.2426762,122.2699966,-0.07,-17.72999954
25,114.9800034,49.2571661,-123.2426148,122.2799988,-0.090000004,-17.71999931
26,114.9800034,49.2571661,-123.2426148,122.2699966,-0.059999999,-17.70999908
27,114.9899979,49.2571661,-123.2426148,122.2699966,-0.059999999,-17.85000038
28,114.9899979,49.2571461,-123.2425595,122.2699966,-0.07,-17.85000038
29,114.9899979,49.2571461,-123.2425595,122.2799988,-0.02,-17.87000084
30,114.9800034,49.2571461,-123.2425595,122.2799988,-0.039999999,-17.93000031
31,114.9800034,49.2571461,-123.2425595,122.2799988,-0.059999999,-17.95000076
32,114.9800034,49.2571233,-123.2425041,122.2799988,-0.01,-17.97999954
33,114.9800034,49.2571233,-123.2425041,122.2900009,0.01,-18.04000092
34,114.9899979,49.2571233,-123.2425041,122.2900009,-0.039999999,-18
35,114.9899979,49.2571017,-123.2424514,122.2900009,-0.039999999,-18.07999992
36,114.9800034,49.2571017,-123.2424514,122.2799988,0,-18.12999916
37,114.9800034,49.2571017,-123.2424514,122.2699966,0.059999999,-18.07999992
38,114.9899979,49.2570753,-123.2423845,122.3000031,0.039999999,-18.09000015
39,114.9899979,49.2570753,-123.2423845,122.3199997,0.029999999,-18.12999916
40,114.9899979,49.2570753,-123.2423845,122.3199997,0.07,-18.26000023
41,114.9800034,49.2570753,-123.2423845,122.3199997,0.059999999,-18.22999954
42,114.9800034,49.2570548,-123.2423282,122.3199997,0.029999999,-18.21999931
43,114.9800034,49.2570548,-123.2423282,122.3199997,0.029999999,-18.17000008
44,114.9800034,49.2570548,-123.2423282,122.3099976,0.02,-18.19000053
45,114.9800034,49.257031,-123.2422738,122.3000031,0.079999998,-18.28000069
46,114.9800034,49.257031,-123.2422738,122.3099976,0.090000004,-18.20999908
47,114.9800034,49.257031,-123.2422738,122.3199997,0.109999999,-18.25
48,114.9800034,49.257031,-123.2422738,122.3199997,0.109999999,-18.29000092
49,114.9800034,49.2570084,-123.2422204,122.3199997,0.109999999,-18.28000069
50,114.9800034,49.2570084,-123.2422204,122.3099976,0.079999998,-18.28000069
51,114.9899979,49.2570084,-123.2422204,122.3099976,0.119999997,-18.23999977
52,114.9899979,49.2569776,-123.2421575,122.3099976,0.109999999,-18.37999916
53,114.9899979,49.2569776,-123.2421575,122.3199997,0.150000006,-18.32999992
54,114.9899979,49.2569776,-123.2421575,122.3199997,0.129999995,-18.29999924
55,114.9899979,49.2569521,-123.2421028,122.3099976,0.109999999,-18.31999969
56,114.9899979,49.2569521,-123.2421028,122.3000031,0.079999998,-18.35000038
57,114.9899979,49.2569521,-123.2421028,122.2900009,0.079999998,-18.36000061
58,114.9899979,49.2569521,-123.2421028,122.2799988,0.119999997,-18.32999992
59,114.9899979,49.2569294,-123.2420502,122.2799988,0.059999999,-17.84000015
60,114.9899979,49.2569294,-123.2420502,122.2699966,0.109999999,-17.06999969
61,114.9899979,49.2569294,-123.2420502,122.2799988,0.200000003,-16.20999908
62,114.9899979,49.2569198,-123.2420165,122.3099976,0.189999998,-15.19999981
63,114.9899979,49.2569198,-123.2420165,122.3499985,0.129999995,-13.89999962
