Date, Time, mavlink_terrain_report_t.current_height, mavlink_gps_raw_int_t.lat, mavlink_gps_raw_int_t.lon, mavlink_attitude_t.yaw, mavlink_attitude_t.roll, mavlink_attitude_t.pitch
9/17/2018, 4:44:08 , 0, 0, 0, -0.8594325, -0.0041371, 0.0006005075
9/17/2018, 4:44:08 , 0, 0, 0, -0.8594325, -0.0041371, 0.0006005075
9/17/2018, 4:44:08 , 0, 0, 0, -0.8605731, -0.003957333, 0.0004639095
9/17/2018, 4:44:08 , 0, 0, 0, -0.8603522, -0.003786669, 0.0003767274
9/17/2018, 4:44:09 , 0, 0, 0, -0.8603522, -0.003786669, 0.0003767274
9/17/2018, 4:44:09 , 0, 0, 0, -0.8589514, -0.003664504, 0.0003829328
9/17/2018, 4:44:09 , 0, 0, 0, -0.8591955, -0.003523304, 0.0003950996
9/17/2018, 4:44:10 , 0, 0, 0, -0.8595998, -0.003456736, 0.0003649062
9/17/2018, 4:44:10 , 0, 0, 0, -0.8598728, -0.003434886, 0.0003660256
9/17/2018, 4:44:10 , 0, 0, 0, -0.8598728, -0.003434886, 0.0003660256
9/17/2018, 4:44:10 , 0, 0, 0, -0.8599031, -0.003361379, 0.0003201514
9/17/2018, 4:44:10 , 0, 0, 0, -0.8599988, -0.003310279, 0.0003056815
9/17/2018, 4:44:10 , 0, 0, 0, -0.8590525, -0.003233668, 0.0002286127
9/17/2018, 4:44:11 , 0, 0, 0, -0.8583816, -0.003244547, 0.0001615221
9/17/2018, 4:44:11 , 0, 0, 0, -0.8583816, -0.003244547, 0.0001615221
9/17/2018, 4:44:11 , 0, 0, 0, -0.8585418, -0.003218709, 0.0001797657
9/17/2018, 4:44:12 , 0, 0, 0, -0.8589038, -0.003242915, 8.757599E-05
9/17/2018, 4:44:14 , 0, 0, 0, -0.8594176, -0.003252783, 5.179085E-06
9/17/2018, 4:44:15 , 0, 0, 0, -0.8594176, -0.003252783, 5.179085E-06
9/17/2018, 4:44:16 , 0, 0, 0, -0.8624195, -0.003373347, -0.0002284087
9/17/2018, 4:44:16 , 0, 0, 0, -0.8618959, -0.003309473, -5.957577E-05
9/17/2018, 4:44:17 , 0, 492574234, -1232432147, -0.8618959, -0.003309473, -5.957577E-05
9/17/2018, 4:44:18 , 0, 492574234, -1232432147, -0.8618959, -0.003309473, -5.957577E-05
9/17/2018, 4:44:18 , 0, 492574234, -1232432147, -0.8634423, -0.003228518, 0.0001474116
9/17/2018, 4:44:18 , 0, 492574234, -1232432147, -0.8619587, -0.00296853, 0.0002715103
9/17/2018, 4:44:19 , 0, 492574191, -1232432046, -0.8619587, -0.00296853, 0.0002715103
9/17/2018, 4:44:19 , 0, 492574191, -1232432046, -0.8619587, -0.00296853, 0.0002715103
9/17/2018, 4:44:19 , 0, 492574191, -1232432046, -0.8604463, -0.003285478, 0.0005158409
9/17/2018, 4:44:20 , 0, 492574281, -1232432084, -0.8604463, -0.003285478, 0.0005158409
9/17/2018, 4:44:20 , 0, 492574281, -1232432084, -0.8604463, -0.003285478, 0.0005158409
9/17/2018, 4:44:21 , 0, 492574281, -1232432084, -0.859053, -0.003230896, 0.0006318018
9/17/2018, 4:44:22 , 0, 492574281, -1232432084, -0.8574975, -0.003228331, 0.0009903461
9/17/2018, 4:44:23 , 0, 492574219, -1232431933, -0.8574975, -0.003228331, 0.0009903461
9/17/2018, 4:44:24 , 0, 492574219, -1232431933, -0.8574975, -0.003228331, 0.0009903461
9/17/2018, 4:44:24 , 0, 492574219, -1232431933, -0.8577597, -0.003239698, 0.000837463
9/17/2018, 4:44:26 , 0, 492574270, -1232432040, -0.8577597, -0.003239698, 0.000837463
9/17/2018, 4:44:26 , 0, 492574270, -1232432040, -0.8561742, -0.00322414, 0.000744978
9/17/2018, 4:44:26 , -92.66604, 492574270, -1232432040, -0.8561742, -0.00322414, 0.000744978
9/17/2018, 4:44:27 , -92.66604, 492574270, -1232432040, -0.8553613, -0.003050541, 0.0005917111
9/17/2018, 4:44:29 , -92.66604, 492574183, -1232431997, -0.8553613, -0.003050541, 0.0005917111
9/17/2018, 4:44:29 , -92.43098, 492574183, -1232431997, -0.8553613, -0.003050541, 0.0005917111
9/17/2018, 4:44:29 , -92.43098, 492574183, -1232431997, -0.8556529, -0.003037832, 0.0005323952
9/17/2018, 4:44:31 , -92.43098, 492574183, -1232431997, -0.856697, -0.003225156, 0.0004979018
9/17/2018, 4:44:31 , -92.43098, 492574050, -1232432001, -0.856697, -0.003225156, 0.0004979018
9/17/2018, 4:44:31 , -92.73041, 492574050, -1232432001, -0.856697, -0.003225156, 0.0004979018
9/17/2018, 4:44:32 , -92.73041, 492574050, -1232432001, -0.8552086, -0.003267552, 0.0004748991
9/17/2018, 4:44:34 , -92.73041, 492574050, -1232432001, -0.8554181, -0.00311569, 0.0008042222
9/17/2018, 4:44:34 , -92.73041, 492573954, -1232431929, -0.8554181, -0.00311569, 0.0008042222
9/17/2018, 4:44:34 , -92.63566, 492573954, -1232431929, -0.8554181, -0.00311569, 0.0008042222
9/17/2018, 4:44:35 , -92.63566, 492573954, -1232431929, -0.8555369, -0.003003977, 0.001004716
9/17/2018, 4:44:36 , -92.63566, 492573962, -1232432068, -0.8555369, -0.003003977, 0.001004716
9/17/2018, 4:44:36 , -92.50089, 492573962, -1232432068, -0.8555369, -0.003003977, 0.001004716
9/17/2018, 4:44:36 , -92.50089, 492573962, -1232432068, -0.8554256, -0.002906836, 0.001022016
9/17/2018, 4:44:37 , -92.50089, 492573962, -1232432068, -0.8548288, -0.002814572, 0.0009303493
9/17/2018, 4:44:38 , -92.50089, 492573988, -1232432065, -0.8548288, -0.002814572, 0.0009303493
9/17/2018, 4:44:38 , -92.48303, 492573988, -1232432065, -0.8548288, -0.002814572, 0.0009303493
9/17/2018, 4:44:38 , -92.48303, 492573988, -1232432065, -0.8544159, -0.002595819, 0.0009567216
9/17/2018, 4:44:39 , -92.48303, 492573988, -1232432065, -0.8544123, -0.002532499, 0.0008195303
9/17/2018, 4:44:40 , -92.48303, 492573981, -1232432025, -0.8544123, -0.002532499, 0.0008195303
