index,h(m) see level,lat,lon,yaw(deg),roll(deg),pitch(deg)
1,114.9216,49.2573464,-123.2430668,124.220745,0.387010072,-4.423543576
2,114.9216,49.2573263,-123.2430227,124.220745,0.387010072,-4.423543576
3,114.98599,49.2573263,-123.2430227,124.220745,0.387010072,-4.423543576
4,114.98599,49.2573263,-123.2430227,121.5560902,0.120718426,-5.157564391
5,114.98599,49.2573083,-123.2429809,121.5560902,0.120718426,-5.157564391
6,115.0116,49.2573083,-123.2429809,121.5560902,0.120718426,-5.157564391
7,115.0116,49.2573083,-123.2429809,120.1349257,-1.85673849,-4.659667504
8,115.0116,49.2572843,-123.2429288,120.1349257,-1.85673849,-4.659667504
9,114.97884,49.2572843,-123.2429288,120.1349257,-1.85673849,-4.659667504
10,114.97884,49.2572843,-123.2429288,120.2142803,-0.806043329,-4.851765356
11,114.97884,49.2572661,-123.2428796,120.2142803,-0.806043329,-4.851765356
12,115.04421,49.2572661,-123.2428796,120.2142803,-0.806043329,-4.851765356
13,115.04421,49.2572661,-123.2428796,121.849903,0.897954353,-4.749647088
14,115.04421,49.2572512,-123.2428234,121.849903,0.897954353,-4.749647088
15,115.02056,49.2572512,-123.2428234,121.849903,0.897954353,-4.749647088
16,115.02056,49.2572512,-123.2428234,125.5017068,2.315936088,-5.292438083
17,115.02056,49.2572301,-123.2427668,125.5017068,2.315936088,-5.292438083
18,115.05093,49.2572301,-123.2427668,125.5017068,2.315936088,-5.292438083
19,115.05093,49.2572301,-123.2427668,126.2855703,2.017706972,-5.01005526
20,115.05093,49.2572093,-123.2427112,126.2855703,2.017706972,-5.01005526
21,115.03566,49.2572093,-123.2427112,126.2855703,2.017706972,-5.01005526
22,115.03566,49.2572093,-123.2427112,126.1423309,1.010529101,-4.401894938
23,115.03566,49.2571871,-123.2426582,126.1423309,1.010529101,-4.401894938
24,115.07786,49.2571871,-123.2426582,126.1423309,1.010529101,-4.401894938
25,115.07786,49.2571871,-123.2426582,124.8543218,0.539373129,-4.371760223
26,115.07786,49.257166,-123.2426131,124.8543218,0.539373129,-4.371760223
27,115.09329,49.257166,-123.2426131,124.8543218,0.539373129,-4.371760223
28,115.09329,49.257166,-123.2426131,123.6418858,-0.707616055,-2.031939816
29,115.09329,49.2571413,-123.2425576,123.6418858,-0.707616055,-2.031939816
30,115.24513,49.2571413,-123.2425576,123.6418858,-0.707616055,-2.031939816
31,115.24513,49.2571413,-123.2425576,122.9134272,0.524573572,-2.759008362
32,115.24513,49.2571212,-123.2425129,122.9134272,0.524573572,-2.759008362
33,115.35691,49.2571212,-123.2425129,122.9134272,0.524573572,-2.759008362
34,115.35691,49.2571212,-123.2425129,123.0108301,-0.447073123,-3.368183392
35,115.35691,49.2570945,-123.2424559,123.0108301,-0.447073123,-3.368183392
36,115.44943,49.2570945,-123.2424559,123.0108301,-0.447073123,-3.368183392
37,115.44943,49.2570945,-123.2424559,122.7515094,-0.71471271,-1.427351313
38,115.44943,49.2570746,-123.2424108,122.7515094,-0.71471271,-1.427351313
39,115.55347,49.2570746,-123.2424108,122.7515094,-0.71471271,-1.427351313
40,115.55347,49.2570746,-123.2424108,119.6635533,-1.517839684,-2.587956968
41,115.55347,49.2570571,-123.2423687,119.6635533,-1.517839684,-2.587956968
42,115.61515,49.2570571,-123.2423687,119.6635533,-1.517839684,-2.587956968
43,115.61515,49.2570571,-123.2423687,119.1100188,-0.483912247,-4.493073723
44,115.61515,49.2570412,-123.2423264,119.1100188,-0.483912247,-4.493073723
45,115.73009,49.2570412,-123.2423264,119.1100188,-0.483912247,-4.493073723
46,115.73009,49.2570412,-123.2423264,120.2224163,0.111020829,-4.583102581
47,115.73009,49.2570197,-123.2422691,120.2224163,0.111020829,-4.583102581
48,115.8095,49.2570197,-123.2422691,120.2224163,0.111020829,-4.583102581
49,115.8095,49.2570197,-123.2422691,120.1712512,-0.403790631,-5.681182498
50,115.8095,49.2570016,-123.2422247,120.1712512,-0.403790631,-5.681182498
51,115.90191,49.2570016,-123.2422247,120.1712512,-0.403790631,-5.681182498
52,115.90191,49.2570016,-123.2422247,121.9148191,-1.066876062,-5.477326407
53,115.90191,49.2569863,-123.2421815,121.9148191,-1.066876062,-5.477326407
54,115.88857,49.2569863,-123.2421815,121.9148191,-1.066876062,-5.477326407
55,115.88857,49.2569863,-123.2421815,123.404051,0.114657965,-5.622788359
56,115.88857,49.256967,-123.2421344,123.404051,0.114657965,-5.622788359
57,115.87783,49.256967,-123.2421344,123.404051,0.114657965,-5.622788359
58,115.87783,49.256967,-123.2421344,124.0816309,0.662199409,-5.746279671
59,115.87783,49.2569497,-123.2420863,124.0816309,0.662199409,-5.746279671
60,115.85093,49.2569497,-123.2420863,124.0816309,0.662199409,-5.746279671
61,115.85093,49.2569497,-123.2420863,125.8645036,2.955978646,11.08590828
62,115.85093,49.2569309,-123.2420425,125.8645036,2.955978646,11.08590828
63,115.25418,49.2569309,-123.2420425,125.8645036,2.955978646,11.08590828
64,115.25418,49.2569309,-123.2420425,123.8196746,0.706797298,21.15999028
65,115.25418,49.2569193,-123.2420138,123.8196746,0.706797298,21.15999028
