index,h(m) see level,lat,lon,yaw(degree),roll(degree),pitch(degree)
4,115.0635,49.25735,-123.2430813,120.2005867,2.917833408,-6.894848056
5,115.00482,49.25735,-123.2430813,120.2005867,2.917833408,-6.894848056
6,115.00482,49.2573353,-123.243049,120.2005867,2.917833408,-6.894848056
7,115.00482,49.2573353,-123.243049,121.1579418,0.966537402,-5.706672818
8,114.95824,49.2573353,-123.243049,121.1579418,0.966537402,-5.706672818
9,114.95824,49.2573213,-123.2430158,121.1579418,0.966537402,-5.706672818
10,114.95824,49.2573213,-123.2430158,119.8840275,1.464479551,-5.829765351
11,114.96145,49.2573213,-123.2430158,119.8840275,1.464479551,-5.829765351
12,114.96145,49.2573078,-123.2429804,119.8840275,1.464479551,-5.829765351
13,114.96145,49.2573078,-123.2429804,121.3851769,1.674443946,-5.811562482
14,114.99451,49.2573078,-123.2429804,121.3851769,1.674443946,-5.811562482
15,114.99451,49.2572892,-123.2429308,121.3851769,1.674443946,-5.811562482
16,114.99451,49.2572892,-123.2429308,122.0960456,1.308219064,-5.744635282
17,115.00928,49.2572892,-123.2429308,122.0960456,1.308219064,-5.744635282
18,115.00928,49.2572737,-123.2428904,122.0960456,1.308219064,-5.744635282
19,115.00928,49.2572737,-123.2428904,121.7005902,2.237989764,-6.267946284
20,115.01567,49.2572737,-123.2428904,121.7005902,2.237989764,-6.267946284
21,115.01567,49.2572522,-123.2428411,121.7005902,2.237989764,-6.267946284
22,115.01567,49.2572522,-123.2428411,123.8354882,2.462062671,-5.137186001
23,115.00226,49.2572522,-123.2428411,123.8354882,2.462062671,-5.137186001
24,115.00226,49.2572314,-123.2427914,123.8354882,2.462062671,-5.137186001
25,115.00226,49.2572314,-123.2427914,122.9945008,0.556313314,-5.997842521
26,115.01168,49.2572314,-123.2427914,122.9945008,0.556313314,-5.997842521
27,115.01168,49.2572038,-123.242726,122.9945008,0.556313314,-5.997842521
28,115.01168,49.2572038,-123.242726,122.425038,1.868090503,-5.041754723
29,115.07067,49.2572038,-123.242726,122.425038,1.868090503,-5.041754723
30,115.07067,49.257175,-123.2426589,122.425038,1.868090503,-5.041754723
31,115.07067,49.257175,-123.2426589,122.2706832,1.421093468,-5.316180881
32,115.12781,49.257175,-123.2426589,122.2706832,1.421093468,-5.316180881
33,115.12781,49.2571515,-123.2425953,122.2706832,1.421093468,-5.316180881
34,115.12781,49.2571515,-123.2425953,124.0390601,1.759992847,-5.434431921
35,115.33786,49.2571515,-123.2425953,124.0390601,1.759992847,-5.434431921
36,115.33786,49.2571224,-123.242512,124.0390601,1.759992847,-5.434431921
37,115.33786,49.2571224,-123.242512,124.4351458,1.273706378,-5.331801429
38,115.35366,49.2571224,-123.242512,124.4351458,1.273706378,-5.331801429
39,115.35366,49.2570885,-123.2424248,124.4351458,1.273706378,-5.331801429
40,115.35366,49.2570885,-123.2424248,124.1031168,0.691798409,-5.803294701
41,115.63668,49.2570885,-123.2424248,124.1031168,0.691798409,-5.803294701
42,115.63668,49.2570572,-123.2423518,124.1031168,0.691798409,-5.803294701
43,115.63668,49.2570572,-123.2423518,124.6175183,1.115800929,-6.28266557
44,115.87027,49.2570572,-123.2423518,124.6175183,1.115800929,-6.28266557
45,115.87027,49.2570218,-123.2422747,124.6175183,1.115800929,-6.28266557
46,115.87027,49.2570218,-123.2422747,123.4216408,0.421503163,-5.538465587
47,115.94468,49.2570218,-123.2422747,123.4216408,0.421503163,-5.538465587
48,115.94468,49.2569838,-123.2421949,123.4216408,0.421503163,-5.538465587
49,115.94468,49.2569838,-123.2421949,121.64381,-0.044511435,-5.363444742
50,115.91275,49.2569838,-123.2421949,121.64381,-0.044511435,-5.363444742
51,115.91275,49.256953,-123.2421271,121.64381,-0.044511435,-5.363444742
52,115.91275,49.256953,-123.2421271,121.7005329,0.308829465,10.00894243
53,115.92635,49.256953,-123.2421271,121.7005329,0.308829465,10.00894243
54,115.92635,49.2569254,-123.2420562,121.7005329,0.308829465,10.00894243
55,115.92635,49.2569254,-123.2420562,121.6956054,2.3993639,19.42579027
56,115.10744,49.2569254,-123.2420562,121.6956054,2.3993639,19.42579027
57,115.10744,49.2569128,-123.2420146,121.6956054,2.3993639,19.42579027
