Date, Time, mavlink_terrain_report_t.current_height, mavlink_gps_raw_int_t.lat, mavlink_gps_raw_int_t.lon, mavlink_attitude_t.yaw, mavlink_attitude_t.roll, mavlink_attitude_t.pitch
2018-09-25, 3:36:55 , 0, 0, 0, 1.496697, -0.006642261, -0.01256456
2018-09-25, 3:36:56 , 0, 0, 0, 1.499683, -0.006822045, -0.01258552
2018-09-25, 3:36:56 , 0, 492573182, -1232431035, 1.499683, -0.006822045, -0.01258552
2018-09-25, 3:36:56 , 0, 492573182, -1232431035, 1.499683, -0.006822045, -0.01258552
2018-09-25, 3:36:56 , 0, 492573182, -1232431035, 1.50267, -0.007619561, -0.013043
2018-09-25, 3:36:56 , 0, 492573182, -1232431035, 1.504046, -0.007526042, -0.01388947
2018-09-25, 3:36:56 , 0, 492573175, -1232431010, 1.504046, -0.007526042, -0.01388947
2018-09-25, 3:36:56 , 0, 492573175, -1232431010, 1.504046, -0.007526042, -0.01388947
2018-09-25, 3:36:56 , 0, 492573175, -1232431010, 1.505387, -0.007227739, -0.01471467
2018-09-25, 3:36:56 , 0, 492573175, -1232431010, 1.5066, -0.007027884, -0.01491578
2018-09-25, 3:36:57 , 0, 492573178, -1232431028, 1.5066, -0.007027884, -0.01491578
2018-09-25, 3:36:57 , 0, 492573178, -1232431028, 1.5066, -0.007027884, -0.01491578
2018-09-25, 3:36:57 , 0, 492573178, -1232431028, 1.507867, -0.007058032, -0.0147142
2018-09-25, 3:36:57 , 0, 492573178, -1232431028, 1.509254, -0.007073665, -0.01450248
2018-09-25, 3:36:57 , 0, 492573177, -1232431023, 1.509254, -0.007073665, -0.01450248
2018-09-25, 3:36:58 , 0, 492573177, -1232431023, 1.509254, -0.007073665, -0.01450248
2018-09-25, 3:36:58 , 0, 492573177, -1232431023, 1.510549, -0.007013712, -0.01442513
2018-09-25, 3:36:58 , 0, 492573177, -1232431023, 1.511789, -0.006929819, -0.0142569
2018-09-25, 3:36:58 , 0, 492573164, -1232431015, 1.511789, -0.006929819, -0.0142569
2018-09-25, 3:36:58 , 0, 492573164, -1232431015, 1.511789, -0.006929819, -0.0142569
2018-09-25, 3:36:58 , 0, 492573164, -1232431015, 1.513119, -0.006679565, -0.0141934
2018-09-25, 3:36:58 , 0, 492573164, -1232431015, 1.514374, -0.006367534, -0.0141438
2018-09-25, 3:36:59 , 0, 492573155, -1232431011, 1.514374, -0.006367534, -0.0141438
2018-09-25, 3:36:59 , 0, 492573155, -1232431011, 1.514374, -0.006367534, -0.0141438
2018-09-25, 3:36:59 , 0, 492573155, -1232431011, 1.515627, -0.006046144, -0.01400094
2018-09-25, 3:36:59 , 0, 492573155, -1232431011, 1.517162, -0.005460592, -0.01395314
2018-09-25, 3:36:59 , 0, 492573121, -1232431002, 1.517162, -0.005460592, -0.01395314
2018-09-25, 3:37:00 , 0, 492573121, -1232431002, 1.517162, -0.005460592, -0.01395314
2018-09-25, 3:37:00 , 0, 492573121, -1232431002, 1.518614, -0.005060817, -0.01394206
2018-09-25, 3:37:00 , 0, 492573121, -1232431002, 1.520114, -0.004705612, -0.01382928
2018-09-25, 3:37:00 , 0, 492573118, -1232430997, 1.520114, -0.004705612, -0.01382928
2018-09-25, 3:37:00 , 0, 492573118, -1232430997, 1.520114, -0.004705612, -0.01382928
2018-09-25, 3:37:00 , 0, 492573118, -1232430997, 1.521597, -0.00440364, -0.01379277
2018-09-25, 3:37:01 , 0, 492573103, -1232430991, 1.521597, -0.00440364, -0.01379277
2018-09-25, 3:37:01 , 0, 492573103, -1232430991, 1.523462, -0.0036625, -0.0138294
2018-09-25, 3:37:02 , 0, 492573103, -1232430991, 1.523462, -0.0036625, -0.0138294
2018-09-25, 3:37:03 , 0, 492573103, -1232430991, 1.529473, -0.001953657, -0.01342177
2018-09-25, 3:37:04 , 0, 492573030, -1232430973, 1.529473, -0.001953657, -0.01342177
2018-09-25, 3:37:04 , -5.023055, 492573030, -1232430973, 1.529473, -0.001953657, -0.01342177
2018-09-25, 3:37:04 , -5.023055, 492573030, -1232430973, 1.535342, -0.002192735, -0.013406
2018-09-25, 3:37:05 , -5.023055, 492573030, -1232430973, 1.541964, -0.00287717, -0.01297252
2018-09-25, 3:37:06 , -5.023055, 492573019, -1232430979, 1.541964, -0.00287717, -0.01297252
2018-09-25, 3:37:06 , -5.019073, 492573019, -1232430979, 1.541964, -0.00287717, -0.01297252
2018-09-25, 3:37:06 , -5.019073, 492573019, -1232430979, 1.54806, -0.004761467, -0.01189842
2018-09-25, 3:37:07 , -5.019073, 492573019, -1232430979, 1.553686, -0.007175587, -0.009815886
2018-09-25, 3:37:07 , -5.019073, 492573070, -1232431053, 1.553686, -0.007175587, -0.009815886
2018-09-25, 3:37:07 , -5.178653, 492573070, -1232431053, 1.553686, -0.007175587, -0.009815886
2018-09-25, 3:37:08 , -5.178653, 492573070, -1232431053, 1.558398, -0.007990097, -0.01110282
2018-09-25, 3:37:09 , -5.178653, 492573069, -1232430966, 1.558398, -0.007990097, -0.01110282
2018-09-25, 3:37:10 , -5.192239, 492573069, -1232430966, 1.558398, -0.007990097, -0.01110282
2018-09-25, 3:37:10 , -5.192239, 492573069, -1232430966, 1.56367, -0.007629868, -0.01188412
2018-09-25, 3:37:12 , -5.192239, 492573069, -1232430966, 1.567871, -0.006086029, -0.01271594
2018-09-25, 3:37:12 , -5.192239, 492573020, -1232430924, 1.567871, -0.006086029, -0.01271594
2018-09-25, 3:37:13 , -5.322284, 492573020, -1232430924, 1.567871, -0.006086029, -0.01271594
2018-09-25, 3:37:13 , -5.322284, 492573020, -1232430924, 1.572395, -0.005636693, -0.01332449
2018-09-25, 3:37:15 , -5.322284, 492573093, -1232430876, 1.572395, -0.005636693, -0.01332449
2018-09-25, 3:37:15 , -5.322284, 492573093, -1232430876, 1.578401, -0.006597054, -0.01292426
2018-09-25, 3:37:15 , -5.346198, 492573093, -1232430876, 1.578401, -0.006597054, -0.01292426
2018-09-25, 3:37:16 , -5.346198, 492573093, -1232430876, 1.582964, -0.005892374, -0.01295128
2018-09-25, 3:37:17 , -5.346198, 492573060, -1232430856, 1.582964, -0.005892374, -0.01295128
2018-09-25, 3:37:17 , -5.268861, 492573060, -1232430856, 1.582964, -0.005892374, -0.01295128
2018-09-25, 3:37:18 , -5.268861, 492573060, -1232430856, 1.588183, -0.00455732, -0.01265178
2018-09-25, 3:37:19 , -5.268861, 492573060, -1232430856, 1.5917, -0.003239351, -0.01161013
2018-09-25, 3:37:19 , -5.268861, 492573108, -1232430897, 1.5917, -0.003239351, -0.01161013
2018-09-25, 3:37:20 , -5.158014, 492573108, -1232430897, 1.5917, -0.003239351, -0.01161013
2018-09-25, 3:37:21 , -5.158014, 492573108, -1232430897, 1.595452, -0.003461349, -0.01043386
