index,height (m) sea level,lat,lon,yaw(degree),roll(dgree),pitch(degree)
1,114.40677,49.257305,-123.2429722,121.8016599,0.764107402,-0.839458227
2,114.33212,49.257305,-123.2429722,121.8016599,0.764107402,-0.839458227
3,114.33212,49.257305,-123.2429722,120.0762548,0.682755989,-0.958843151
4,114.33212,49.2572907,-123.2429375,120.0762548,0.682755989,-0.958843151
5,114.33212,49.2572907,-123.2429375,119.4569447,1.021532183,-1.350697582
6,114.35742,49.2572907,-123.2429375,119.4569447,1.021532183,-1.350697582
7,114.35742,49.2572794,-123.2429107,119.4569447,1.021532183,-1.350697582
8,114.35742,49.2572794,-123.2429107,120.3484671,1.000759598,-1.70444287
9,114.36267,49.2572794,-123.2429107,120.3484671,1.000759598,-1.70444287
10,114.36267,49.2572794,-123.2429107,120.7398545,1.295402571,-1.655719112
11,114.36267,49.2572648,-123.2428728,120.7398545,1.295402571,-1.655719112
12,114.36267,49.2572648,-123.2428728,120.7833993,0.361388603,-1.029827465
13,114.29944,49.2572648,-123.2428728,120.7833993,0.361388603,-1.029827465
14,114.29944,49.2572486,-123.2428318,120.7833993,0.361388603,-1.029827465
15,114.29944,49.2572486,-123.2428318,121.5760864,-0.056989362,-0.468279495
16,114.25051,49.2572486,-123.2428318,121.5760864,-0.056989362,-0.468279495
17,114.25051,49.2572486,-123.2428318,121.7101013,-0.094855627,-1.016947947
18,114.25051,49.2572321,-123.2427878,121.7101013,-0.094855627,-1.016947947
19,114.25051,49.2572321,-123.2427878,121.1310128,0.767107982,-0.538190888
20,114.24031,49.2572321,-123.2427878,121.1310128,0.767107982,-0.538190888
21,114.24031,49.2572149,-123.2427422,121.1310128,0.767107982,-0.538190888
22,114.24031,49.2572149,-123.2427422,121.0352143,-0.174311007,-0.58390931
23,114.29427,49.2572149,-123.2427422,121.0352143,-0.174311007,-0.58390931
24,114.29427,49.2572149,-123.2427422,122.6781708,0.552621174,-0.007942072
25,114.29427,49.2571952,-123.2426855,122.6781708,0.552621174,-0.007942072
26,114.29427,49.2571952,-123.2426855,126.2619072,0.87976237,-0.278730503
27,114.32452,49.2571952,-123.2426855,126.2619072,0.87976237,-0.278730503
28,114.32452,49.2571718,-123.2426166,126.2619072,0.87976237,-0.278730503
29,114.32452,49.2571718,-123.2426166,125.0059837,0.891917097,0.459704379
30,114.38799,49.2571718,-123.2426166,125.0059837,0.891917097,0.459704379
31,114.38799,49.2571496,-123.2425631,125.0059837,0.891917097,0.459704379
32,114.38799,49.2571496,-123.2425631,125.6659165,2.20483728,-0.435348974
33,114.45585,49.2571496,-123.2425631,125.6659165,2.20483728,-0.435348974
34,114.45585,49.2571248,-123.2425002,125.6659165,2.20483728,-0.435348974
35,114.45585,49.2571248,-123.2425002,126.7489213,0.503221669,0.211055134
36,114.45585,49.2571248,-123.2425002,124.5943708,0.405007765,0.18586642
37,114.47368,49.2571248,-123.2425002,124.5943708,0.405007765,0.18586642
38,114.47368,49.2570958,-123.2424393,124.5943708,0.405007765,0.18586642
39,114.47368,49.2570958,-123.2424393,124.1350305,-0.64902711,0.209707882
40,114.54039,49.2570958,-123.2424393,124.1350305,-0.64902711,0.209707882
41,114.54039,49.2570701,-123.2423777,124.1350305,-0.64902711,0.209707882
42,114.54039,49.2570701,-123.2423777,124.1782889,-0.688556614,0.079833991
43,114.55191,49.2570701,-123.2423777,124.1782889,-0.688556614,0.079833991
44,114.55191,49.2570424,-123.2423214,124.1782889,-0.688556614,0.079833991
45,114.55191,49.2570424,-123.2423214,123.0840541,-1.280247264,0.717334565
46,114.61517,49.2570424,-123.2423214,123.0840541,-1.280247264,0.717334565
47,114.61517,49.2570424,-123.2423214,125.9339461,-2.557109494,1.285635359
48,114.61517,49.257012,-123.2422558,125.9339461,-2.557109494,1.285635359
49,114.61517,49.257012,-123.2422558,126.7928099,-3.108597987,-0.17186505
50,114.61359,49.257012,-123.2422558,126.7928099,-3.108597987,-0.17186505
51,114.61359,49.2569841,-123.2421875,126.7928099,-3.108597987,-0.17186505
52,114.61359,49.2569841,-123.2421875,124.5469872,-1.92918843,0.374939513
53,114.72056,49.2569841,-123.2421875,124.5469872,-1.92918843,0.374939513
54,114.72056,49.2569585,-123.2421144,124.5469872,-1.92918843,0.374939513
55,114.72056,49.2569585,-123.2421144,116.6791308,-0.257806027,1.585671011
56,114.72056,49.2569585,-123.2421144,121.7999983,4.211722798,19.35137451
57,114.72056,49.256936,-123.2420521,121.7999983,4.211722798,19.35137451
58,114.60452,49.256936,-123.2420521,121.7999983,4.211722798,19.35137451
59,114.60452,49.256936,-123.2420521,120.4419738,-0.519103143,20.81994555
60,114.60452,49.2569231,-123.24202,120.4419738,-0.519103143,20.81994555
