index,altitude - sea level (m),latitude (degree),longitude (degree),yaw - north is zero (degree),roll (degree),pitch (degree)
1,106.1200027,69.77584076,19.54892921,175.6699982,0.059999999,0.119999997
2,106.9000015,69.77584076,19.54893112,175.6699982,-0.469999999,-6.789999962
3,106.9199982,69.77583313,19.54893303,175.6699982,-0.479999989,-7.940000057
4,106.9300003,69.77583313,19.54893494,175.6600037,-0.389999986,-8.390000343
5,106.9400024,69.7758255,19.54893684,174.7200012,-0.419999987,-9.279999733
6,106.9499969,69.7758255,19.54893875,172.0099945,0.50999999,-10.89000034
7,106.9499969,69.77581787,19.54894257,170.8999939,1.149999976,-12.18999958
8,106.9599991,69.77581787,19.54894638,171.6799927,0.660000026,-13.38000011
9,106.9599991,69.77581024,19.5489502,172.6600037,0.289999992,-14.60999966
10,106.9599991,69.77580261,19.54895592,172.8300018,0.400000006,-15.03999996
11,106.9599991,69.77578735,19.54895973,172.4400024,0.819999993,-15.35999966
12,106.9599991,69.77577972,19.54896545,172.1499939,1.129999995,-15.69999981
13,106.9599991,69.77577209,19.54897118,172.25,1.179999948,-15.93000031
14,106.9700012,69.77576447,19.5489769,172.4900055,1.159999967,-16.09000015
15,106.9700012,69.77574921,19.54898262,172.5899963,1.24000001,-16.29999924
16,106.9700012,69.77573395,19.54898643,172.5299988,1.289999962,-16.44000053
17,106.9700012,69.77572632,19.54899406,172.3800049,1.460000038,-16.52000046
18,106.9700012,69.77571106,19.54899979,172.25,1.590000033,-16.62000084
19,106.9700012,69.7756958,19.54900551,172.1499939,1.559999943,-16.78000069
20,106.9700012,69.77568817,19.54901123,172.0299988,1.570000052,-16.95999908
21,106.9800034,69.77567291,19.54901695,171.8699951,1.580000043,-16.98999977
22,106.9800034,69.77565765,19.54902267,171.6600037,1.659999967,-17.12000084
23,106.9800034,69.77565002,19.54902649,171.4499969,1.730000019,-17.21999931
24,106.9800034,69.77563477,19.54903412,171.2599945,1.75,-17.29999924
25,106.9800034,69.77561951,19.54903984,171.0700073,1.700000048,-17.31999969
26,106.9800034,69.77561188,19.54904556,170.8899994,1.700000048,-17.42000008
27,106.9800034,69.77559662,19.54905128,170.7100067,1.710000038,-17.42000008
28,106.9800034,69.77558136,19.5490551,170.5299988,1.679999948,-17.54999924
29,106.9800034,69.77557373,19.54906273,170.3800049,1.74000001,-17.67000008
30,106.9800034,69.77555847,19.54906845,170.2700043,1.700000048,-17.65999985
31,106.9800034,69.77553558,19.54907608,170.1600037,1.74000001,-17.64999962
32,106.9800034,69.77552795,19.5490818,170.0700073,1.730000019,-17.78000069
33,106.9899979,69.7755127,19.54908752,170,1.710000038,-17.78000069
34,106.9899979,69.77549744,19.54909515,169.9299927,1.779999971,-17.81999969
35,106.9899979,69.77548981,19.54910278,169.8899994,1.75,-17.87000084
36,106.9800034,69.77546692,19.54910851,169.8600006,1.730000019,-17.90999985
37,106.9800034,69.77545929,19.54911613,169.8500061,1.779999971,-17.93000031
38,106.9800034,69.77544403,19.54912376,169.8500061,1.789999962,-17.98999977
39,106.9800034,69.77542877,19.54912949,169.8500061,1.720000029,-17.96999931
40,106.9800034,69.77541351,19.54913521,169.8500061,1.75,-18.04000092
41,106.9800034,69.77539825,19.54914474,169.8500061,1.789999962,-18.10000038
42,106.9800034,69.775383,19.54915047,169.8800049,1.830000043,-18.04999924
43,106.9800034,69.77537537,19.5491581,169.9299927,1.820000052,-18.04999924
44,106.9899979,69.77535248,19.54916573,169.9700012,1.820000052,-18.11000061
45,106.9800034,69.77533722,19.54917336,170.0099945,1.840000033,-18.22999954
46,106.9800034,69.77532959,19.54918098,170.0599976,1.830000043,-18.19000053
47,106.9800034,69.77531433,19.54918671,170.1000061,1.799999952,-18.19000053
48,106.9800034,69.77529907,19.54919434,170.1300049,1.809999943,-18.17000008
49,106.9800034,69.77528381,19.54920387,170.1600037,1.789999962,-18.17000008
50,106.9800034,69.77526855,19.54920959,170.1999969,1.840000033,-18.25
51,106.9800034,69.77526093,19.54921722,170.25,1.850000024,-18.18000031
52,106.9800034,69.77523804,19.54922485,170.2799988,1.870000005,-18.20000076
53,106.9800034,69.77522278,19.54923248,170.3200073,1.860000014,-18.25
54,106.9800034,69.77521515,19.54924011,170.3500061,1.870000005,-18.22999954
55,106.9800034,69.77519226,19.54924583,170.3800049,1.850000024,-18.22999954
56,106.9800034,69.775177,19.54925346,170.4100037,1.850000024,-18.18000031
57,106.9800034,69.77516937,19.549263,170.4400024,1.830000043,-18.31999969
58,106.9899979,69.77515411,19.54926872,170.4600067,1.870000005,-18.28000069
59,106.9899979,69.77513885,19.54927635,170.4700012,1.850000024,-18.22999954
60,106.9899979,69.7751236,19.54928398,170.4799957,1.830000043,-18.25
61,106.9899979,69.77510834,19.54929161,170.4900055,1.809999943,-18.28000069
62,106.9899979,69.77509308,19.54929924,170.5,1.799999952,-18.30999947
63,106.9899979,69.77507782,19.54930496,170.5,1.830000043,-18.31999969
64,106.9899979,69.77506256,19.5493145,170.5099945,1.779999971,-18.23999977
65,106.9899979,69.7750473,19.54932022,170.5200043,1.809999943,-18.18000031
66,106.9899979,69.77503204,19.54932785,170.5200043,1.899999976,-18.18000031
67,106.9899979,69.77502441,19.54933357,170.5299988,1.889999986,-18.21999931
68,106.9899979,69.77500916,19.54934311,170.5399933,1.830000043,-18.23999977
69,106.9899979,69.77498627,19.54934883,170.5500031,1.799999952,-18.13999939
70,106.9899979,69.77497864,19.54935646,170.5399933,1.889999986,-18.25
71,106.9899979,69.77496338,19.54936409,170.5399933,1.799999952,-18.21999931
72,106.9899979,69.77494049,19.54937172,170.5399933,1.769999981,-18.21999931
73,106.9899979,69.77493286,19.54937744,170.5299988,1.799999952,-18.19000053
74,106.9899979,69.7749176,19.54938507,170.5200043,1.840000033,-18.23999977
75,106.9899979,69.77490234,19.5493927,170.5299988,1.860000014,-18.21999931
76,106.9899979,69.77488708,19.54940033,170.5399933,1.789999962,-18.22999954
77,106.9899979,69.77487183,19.54940796,170.5399933,1.830000043,-18.29000092
78,106.9899979,69.7748642,19.54941368,170.5299988,1.879999995,-18.36000061
79,106.9899979,69.77484131,19.54942322,170.5500031,1.860000014,-18.23999977
80,106.9899979,69.77482605,19.54942894,170.5599976,1.870000005,-18.27000046
81,106.9899979,69.77481842,19.54943657,170.5700073,1.870000005,-18.29999924
82,106.9899979,69.77479553,19.54944229,170.5700073,1.850000024,-18.30999947
83,106.9899979,69.77478027,19.54945183,170.5800018,1.879999995,-18.22999954
84,106.9899979,69.77477264,19.54945946,170.5800018,1.929999948,-18.20999908
85,106.9899979,69.77474976,19.54946518,170.5899963,1.940000057,-18.21999931
86,107,69.77474213,19.54947281,170.6000061,1.919999957,-18.23999977
87,107,69.77472687,19.54948044,170.6199951,1.970000029,-18.22999954
88,106.9899979,69.77471161,19.54948807,170.6199951,1.879999995,-18.22999954
89,106.9899979,69.77469635,19.54949379,170.6199951,1.899999976,-18.20999908
90,106.9899979,69.77468109,19.54950333,170.6100006,1.909999967,-18.20999908
91,106.9899979,69.77466583,19.54950905,170.6000061,1.929999948,-18.20999908
92,106.9899979,69.77465057,19.54951668,170.6000061,1.970000029,-18.26000023
93,106.9899979,69.77463531,19.5495224,170.6000061,1.860000014,-18.23999977
94,106.9899979,69.77462769,19.54953194,170.6000061,1.820000052,-18.20999908
95,107,69.7746048,19.54953766,170.5800018,1.830000043,-18.22999954
96,107,69.77458954,19.54954529,170.5599976,1.830000043,-18.27000046
97,107,69.77458191,19.54955292,170.5500031,1.919999957,-18.20999908
98,106.9899979,69.77456665,19.54956055,170.5500031,1.940000057,-18.17000008
99,106.9899979,69.77454376,19.54956818,170.5500031,1.919999957,-18.27000046
100,106.9899979,69.77453613,19.5495739,170.5599976,1.950000048,-18.21999931
101,106.9899979,69.77452087,19.54958153,170.5700073,1.860000014,-18.23999977
102,106.9899979,69.77450562,19.54958916,170.5599976,1.850000024,-18.25
103,106.9899979,69.77449036,19.54959679,170.5500031,1.899999976,-18.34000015
104,106.9899979,69.7744751,19.54960251,170.5399933,1.889999986,-18.34000015
105,106.9899979,69.77445984,19.54961205,170.5500031,1.919999957,-18.29000092
106,106.9899979,69.77444458,19.54961777,170.5599976,1.940000057,-18.27000046
107,106.9899979,69.77442932,19.5496254,170.5599976,1.960000038,-18.27000046
108,106.9899979,69.77442169,19.54963112,170.5700073,1.960000038,-18.26000023
109,106.9899979,69.7743988,19.54964066,170.5800018,1.950000048,-18.30999947
110,106.9899979,69.77438354,19.54964638,170.5800018,1.840000033,-18.20999908
111,106.9899979,69.77437592,19.54965401,170.5700073,1.879999995,-18.27000046
112,106.9899979,69.77435303,19.54966164,170.5500031,1.960000038,-18.37000084
113,106.9899979,69.7743454,19.54966927,170.5700073,1.860000014,-18.09000015
114,106.9899979,69.77433014,19.5496769,170.5700073,1.889999986,-18.26000023
115,106.9899979,69.77430725,19.54968262,170.5700073,2.029999971,-18.32999992
116,106.9899979,69.77429962,19.54969025,170.5800018,1.830000043,-18.20999908
117,106.9899979,69.77428436,19.54969788,170.5700073,1.830000043,-18.34000015
118,106.9899979,69.7742691,19.54970551,170.5700073,1.909999967,-18.34000015
119,106.9899979,69.77425385,19.54971123,170.5700073,1.870000005,-18.11000061
120,106.9899979,69.77423859,19.54972076,170.5700073,1.940000057,-18.34000015
121,106.9899979,69.77423096,19.54972839,170.5899963,1.879999995,-18.17000008
122,106.9899979,69.77420807,19.54973412,170.5899963,1.909999967,-18.25
123,106.9899979,69.77419281,19.54974174,170.6000061,1.929999948,-18.25
124,106.9899979,69.77418518,19.54974937,170.6100006,1.870000005,-18.05999947
125,106.9899979,69.77416229,19.549757,170.6100006,1.940000057,-18.37999916
126,106.9899979,69.77414703,19.54976273,170.6199951,1.970000029,-18.29999924
127,106.9899979,69.7741394,19.54977036,170.6300049,1.899999976,-18.04000092
128,106.9899979,69.77412415,19.54977989,170.6300049,1.980000019,-18.31999969
129,106.9899979,69.77410889,19.54978561,170.6399994,1.940000057,-18.29000092
130,106.9899979,69.77409363,19.54979324,170.6399994,1.950000048,-18.25
131,106.9899979,69.77407837,19.54980087,170.6399994,1.929999948,-18.23999977
132,106.9899979,69.77406311,19.5498085,170.6300049,1.919999957,-18.25
133,106.9899979,69.77404785,19.54981422,170.6199951,1.929999948,-18.29999924
134,106.9800034,69.77403259,19.54982185,170.6300049,1.870000005,-18.04000092
135,106.9800034,69.77401733,19.54982948,170.6199951,1.950000048,-18.28000069
136,106.9800034,69.77400208,19.54983711,170.6199951,2.049999952,-18.32999992
137,106.9800034,69.77398682,19.54984283,170.6399994,1.919999957,-18.04999924
138,106.9800034,69.77397919,19.54985046,170.6399994,1.950000048,-18.22999954
139,106.9800034,69.7739563,19.54985809,170.6300049,2,-18.37000084
140,106.9800034,69.77394867,19.54986572,170.6399994,1.889999986,-18.11000061
141,106.9899979,69.77393341,19.54987144,170.6300049,1.889999986,-18.20000076
142,106.9899979,69.77391052,19.54987907,170.6199951,2,-18.27000046
143,106.9899979,69.77390289,19.54988861,170.6300049,1.940000057,-18.01000023
144,106.9899979,69.77388763,19.54989433,170.6300049,1.960000038,-18.20999908
145,106.9899979,69.77387238,19.54990196,170.6300049,1.899999976,-18.30999947
146,106.9899979,69.77385712,19.54990959,170.6199951,1.940000057,-18.23999977
147,106.9899979,69.77384186,19.54991722,170.6199951,1.919999957,-18.13999939
148,106.9899979,69.7738266,19.54992294,170.6100006,1.879999995,-18.25
149,106.9899979,69.77381134,19.54993057,170.6100006,1.899999976,-18.28000069
150,106.9899979,69.77379608,19.5499382,170.6100006,1.929999948,-18.21999931
151,106.9899979,69.77378845,19.54994583,170.6100006,1.950000048,-18.22999954
152,106.9899979,69.77376556,19.54995155,170.6199951,1.950000048,-18.18000031
153,106.9899979,69.77375031,19.54995918,170.6199951,1.99000001,-18.19000053
154,106.9899979,69.77374268,19.54996872,170.6300049,1.980000019,-18.26000023
155,106.9899979,69.77371979,19.54997444,170.6499939,1.889999986,-18.07999992
156,106.9899979,69.77371216,19.54998207,170.6399994,1.99000001,-18.20999908
157,106.9899979,69.7736969,19.5499897,170.6399994,2,-18.30999947
158,106.9899979,69.77367401,19.54999733,170.6399994,1.929999948,-18.12999916
159,106.9899979,69.77366638,19.55000305,170.6300049,1.99000001,-18.22999954
160,106.9899979,69.77365112,19.55001068,170.6399994,1.909999967,-18.29999924
161,106.9899979,69.77363586,19.55001831,170.6399994,1.889999986,-18.04000092
