X (meters),Y (meters),Z (meters)
2064702.0860817942,733134.2677317412,5987305.056934832
2064702.066077025,733134.3381349364,5987305.069709068
2064702.7886791795,733134.6722230007,5987304.77803046
2064702.764296425,733134.7410716892,5987304.778194266
2064703.4869696428,733135.0747792774,5987304.486351871
2064703.4625868315,733135.143627974,5987304.486515554
2064704.1606355065,733135.54650433,5987304.1945092445
2064704.1119410242,733135.6838212458,5987304.194673052
2064704.8099895923,733136.086697732,5987303.902666638
2064705.483726351,733136.5580425285,5987303.610660116
2064706.9288304336,733137.225778339,5987303.0266467575
2064707.6025669272,733137.6971234331,5987302.734639919
2064708.2761753541,733138.1688290156,5987302.442632974
2064708.9489895632,733138.6398469601,5987302.151172441
2064710.3696531747,733139.3764121692,5987301.567158024
2064711.8147563187,733140.044148822,5987300.983143183
2064712.4640523365,733140.5843234811,5987300.691135605
2064713.8845872788,733141.3212497217,5987300.107120131
2064715.3052499075,733142.0578158417,5987299.523104233
2064715.9789852751,733142.5291622154,5987299.231096125
2064717.3997043308,733143.2657489593,5987298.6472434
2064718.820366246,733144.0023157496,5987298.063226444
2064719.5184131502,733144.4051939425,5987297.771217807
2064720.9136557414,733145.2102426154,5987297.187582928
2064722.3343169433,733145.9468100761,5987296.603564914
2064723.0080514038,733146.4181574716,5987296.311555749
2064724.4287121631,733147.154725363,5987295.727537099
2064725.8736847567,733147.8228245924,5987295.143518029
2064726.5229787007,733148.3630017632,5987294.851508333
2064727.9436387483,733149.0995703259,5987294.267488628
2064730.0867844021,733150.1701890982,5987293.391458272
2064730.7605178773,733150.6415375994,5987293.099447942
2064732.180254982,733151.3777795044,5987292.515973362
2064733.5764737173,733152.1831785961,5987291.931951962
2064734.2257664998,733152.7233571744,5987291.639941105
2064736.393165695,733153.7254883514,5987290.763744212
2064737.042586026,733154.2653070635,5987290.47173293
2064738.4388036078,733155.0707073697,5987289.887710049
2064739.859333236,733155.8076386433,5987289.303686745
2064741.2799905534,733156.544209792,5987288.719663017
2064742.6518948053,733157.4180804668,5987288.1356388675
2064744.0714446404,733158.1546649521,5987287.5519970115
2064744.720735832,733158.6948454576,5987287.259984566
2064746.8639332007,733159.7654892291,5987286.384110276
2064748.2600917562,733160.5708716003,5987285.799920752
2064748.9095102644,733161.1106925184,5987285.50790767
2064750.3300376788,733161.8476259477,5987284.923881193
2064751.7262522303,733162.653029378,5987284.339854293
2064753.098153837,733163.5269029479,5987283.755826968
2064754.5188083278,733164.2634768721,5987283.171799221
2064755.1671189624,733164.8033117439,5987282.880167906
2064757.3102562472,733165.8739384642,5987282.004125175
2064758.70646919,733166.6793435632,5987281.420096157
2064759.3557581105,733167.2195268181,5987281.128081489
2064761.5233348499,733168.2213243081,5987280.252036853
2064762.919546853,733169.0267303613,5987279.668006566
2064763.544394361,733169.6357448959,5987279.375991265
2064764.9651034418,733170.3723411998,5987278.792124025
2064766.3613145868,733171.1777481803,5987278.208092681
2064767.7565464813,733171.9828078899,5987277.6244436335
2064769.152756982,733172.7882155378,5987277.0404114425
2064770.5489671614,733173.5936235195,5987276.456378829
2064771.9696179642,733174.3302010332,5987275.872345791
2064773.3413865552,733175.2044404845,5987275.288312331
2064774.7620367685,733175.9410185727,5987274.704278448
2064776.158245687,733176.7464278426,5987274.12024414
2064776.831972968,733177.2177833818,5987273.828226828
2064778.2027613798,733178.0916766034,5987273.244574609
2064780.3703326883,733179.0934789679,5987272.3685214035
2064781.0196183017,733179.6336662286,5987272.0765034575
2064782.4158257449,733180.4390770467,5987271.492467247
2064784.5589546966,733181.5097116443,5987270.616412137
2064785.2326808672,733181.9810684408,5987270.324393555
2064786.628887373,733182.786480214,5987269.740356074
2064788.0250935557,733183.5918923207,5987269.15631817
2064789.4212994166,733184.397304761,5987268.572279843
2064790.816526029,733185.2023699287,5987267.988623817
2064791.4902513388,733185.673727707,5987267.6966042835
2064793.608936141,733186.8131964778,5987266.820545047
2064795.0295821014,733187.5497786826,5987266.236505028
2064795.6788654618,733188.0899686714,5987265.94448486
2064797.8464317746,733189.0917754769,5987265.06842372
2064799.2181939734,733189.9660218717,5987264.484382427
2064799.8674766906,733190.5062126401,5987264.192361626
2064802.0340628694,733191.5076729214,5987263.316681309
2064802.683402046,733192.047884382,5987263.024823887
2064804.0796045293,733192.8533003269,5987262.440781117
2064805.4757498167,733193.65869641,5987261.856574117
2064806.896393269,733194.3952810557,5987261.2725305
2064808.2681531706,733195.2695299672,5987260.68848646
2064809.688796033,733196.0061151875,5987260.104441998
2064811.0849969315,733196.8115327538,5987259.520397111
2064812.5056392294,733197.5481185012,5987258.936351801
2064813.129499262,733198.1567962822,5987258.644711717
2064815.2971174177,733199.1586277958,5987257.768806447
2064816.6933170573,733199.964046651,5987257.184759869
2064817.3425971104,733200.5042406452,5987256.892736422
2064818.7387393399,733201.3096398985,5987256.308525401
2064820.8818571686,733202.3802850224,5987255.432453787
2064821.5555784742,733202.8516473413,5987255.1404297035
2064822.9517766375,733203.6570677444,5987254.55638122
2064824.3469955549,733204.462140872,5987253.972715044
2064825.7431930746,733205.2675619423,5987253.388665715
2064827.163832274,733206.0041507048,5987252.804615963
2064828.535587148,733206.8784050841,5987252.220565787
2064829.9562257577,733207.6149944213,5987251.636515186
2064831.3524220167,733208.4204167798,5987251.052464164
2064832.0261419143,733208.8917806982,5987250.760438493
2064834.144813568,733210.0312624983,5987249.88436085
2064835.5654510218,733210.7678529363,5987249.300308557
2064836.2137492741,733211.3077028071,5987249.008664986
2064838.3568617739,733212.3783529545,5987248.132585438
2064839.006138519,733212.9185509541,5987247.840558709
2064840.4023326586,733213.7239755283,5987247.256504936
2064842.569886164,733214.7257937437,5987246.380423483
2064843.2191622856,733215.2659925019,5987246.088396121
