index,altitude - sea level (m),latitude (degree),longitude (degree),yaw - north is zero (degree),roll (degree),pitch (degree)
1,114.1800003,49.25736237,-123.2431107,119.1200027,0.180000007,0.119999997
2,114.9400024,49.25735855,-123.2430954,119.1200027,0.5,-8.130000114
3,114.9599991,49.25735474,-123.2430878,123.6999969,-0.649999976,-11.39999962
4,114.9599991,49.25735092,-123.2430878,123.8700027,-0.810000002,-12.63000011
5,114.9599991,49.25734711,-123.2430725,122.5500031,-0.119999997,-13.97000027
6,114.9599991,49.25734329,-123.2430573,121.5999985,0.280000001,-14.92000008
7,114.9599991,49.25733948,-123.2430496,121.6800003,0.140000001,-15.18000031
8,114.9700012,49.25733566,-123.2430344,122.1999969,-0.189999998,-15.44999981
9,114.9700012,49.25732803,-123.2430191,122.4599991,-0.270000011,-15.73999977
10,114.9700012,49.25732422,-123.2430115,122.3399963,-0.289999992,-15.93999958
11,114.9700012,49.25731659,-123.2429962,122.1100006,-0.140000001,-16.14999962
12,114.9700012,49.25731277,-123.242981,122.0199966,-0.029999999,-16.28000069
13,114.9700012,49.25730515,-123.2429733,122.0800018,-0.119999997,-16.48999977
14,114.9700012,49.25729752,-123.2429581,122.1800003,-0.200000003,-16.72999954
15,114.9800034,49.2572937,-123.2429428,122.2099991,-0.219999999,-16.82999992
16,114.9800034,49.25728607,-123.2429199,122.1800003,-0.150000006,-16.96999931
17,114.9800034,49.25727844,-123.2429047,122.1600037,-0.07,-17.05999947
18,114.9800034,49.25727463,-123.2428894,122.1800003,-0.059999999,-17.21999931
19,114.9800034,49.257267,-123.2428665,122.2099991,-0.140000001,-17.29999924
20,114.9800034,49.25725937,-123.2428513,122.2300034,-0.129999995,-17.38999939
21,114.9800034,49.25725174,-123.2428436,122.2300034,-0.100000001,-17.39999962
22,114.9800034,49.25724411,-123.2428131,122.2200012,-0.109999999,-17.54999924
23,114.9800034,49.2572403,-123.2428055,122.2300034,-0.079999998,-17.68000031
24,114.9800034,49.25722885,-123.242775,122.25,-0.090000004,-17.65999985
25,114.9800034,49.25722122,-123.2427673,122.2600021,-0.059999999,-17.67000008
26,114.9899979,49.25721741,-123.2427521,122.2699966,-0.07,-17.79000092
27,114.9899979,49.25720596,-123.2427292,122.2699966,-0.090000004,-17.79000092
28,114.9899979,49.25719833,-123.2427139,122.2600021,-0.02,-17.84000015
29,114.9800034,49.25719452,-123.242691,122.2699966,-0.050000001,-17.89999962
30,114.9800034,49.25718307,-123.2426758,122.2799988,-0.079999998,-17.93000031
31,114.9800034,49.25717926,-123.2426529,122.2799988,0,-17.95000076
32,114.9800034,49.25717163,-123.2426376,122.2900009,0,-18.02000046
33,114.9899979,49.25716019,-123.2426147,122.3000031,-0.050000001,-17.97999954
34,114.9899979,49.25715637,-123.2425995,122.3000031,-0.050000001,-18.05999947
35,114.9800034,49.25714493,-123.2425766,122.2799988,-0.02,-18.11000061
36,114.9800034,49.2571373,-123.2425613,122.2799988,0.059999999,-18.06999969
37,114.9800034,49.25713348,-123.2425308,122.3000031,0.039999999,-18.09000015
38,114.9899979,49.25712204,-123.2425232,122.3199997,0.029999999,-18.12999916
39,114.9899979,49.25711823,-123.2425079,122.3300018,0.07,-18.25
40,114.9800034,49.25710678,-123.242485,122.3300018,0.050000001,-18.20999908
41,114.9800034,49.25709915,-123.2424698,122.3300018,0.029999999,-18.20999908
42,114.9800034,49.25709534,-123.2424469,122.3300018,0.029999999,-18.15999985
43,114.9800034,49.25708389,-123.2424316,122.3199997,0.029999999,-18.18000031
44,114.9800034,49.25708008,-123.2424088,122.3099976,0.090000004,-18.28000069
45,114.9800034,49.25706863,-123.2423935,122.3199997,0.090000004,-18.20999908
46,114.9800034,49.257061,-123.2423706,122.3300018,0.100000001,-18.23999977
47,114.9800034,49.25705338,-123.2423553,122.3300018,0.100000001,-18.28000069
48,114.9800034,49.25704575,-123.2423325,122.3199997,0.100000001,-18.27000046
49,114.9800034,49.25703812,-123.2423172,122.3199997,0.090000004,-18.28000069
50,114.9800034,49.25703049,-123.2422943,122.3199997,0.119999997,-18.23999977
51,114.9899979,49.25702286,-123.2422791,122.3199997,0.100000001,-18.36000061
52,114.9899979,49.25701523,-123.2422562,122.3099976,0.140000001,-18.32999992
53,114.9899979,49.2570076,-123.2422409,122.3099976,0.119999997,-18.29999924
54,114.9899979,49.25699997,-123.242218,122.3099976,0.100000001,-18.29999924
55,114.9899979,49.25699234,-123.2422028,122.3000031,0.079999998,-18.34000015
56,114.9899979,49.2569809,-123.2421722,122.2799988,0.059999999,-18.35000038
57,114.9899979,49.25697708,-123.2421494,122.2699966,0.109999999,-18.36000061
58,114.9899979,49.25696564,-123.2421341,122.2600021,0.059999999,-18.23999977
59,114.9899979,49.25696182,-123.2421112,122.2600021,0.119999997,-17.70999908
60,114.9899979,49.25695038,-123.2420959,122.2799988,0.200000003,-16.94000053
61,114.9899979,49.25694275,-123.2420731,122.3000031,0.180000007,-16.11000061
62,114.9899979,49.25693893,-123.2420578,122.3300018,0.140000001,-15.01000023
63,114.9899979,49.25692749,-123.2420502,122.3499985,0.140000001,-13.60000038
64,114.9899979,49.25691986,-123.2420197,122.3799973,0.219999999,-12.10000038
65,115,49.25691605,-123.242012,122.4199982,0.140000001,-10.19999981
66,115,49.25690842,-123.2419968,122.4700012,0.119999997,-8.170000076
67,115,49.25690079,-123.2419815,122.5299988,0.129999995,-6.460000038
68,115,49.25690079,-123.2419739,122.6200027,0.189999998,-4.679999828
69,115,49.25689316,-123.2419586,122.7799988,0.209999993,-2.630000114
70,115,49.25688934,-123.2419434,123.0100021,0.140000001,-0.340000004
71,115,49.25688553,-123.2419434,123.1900024,0.170000002,2.700000048
72,115,49.25688171,-123.2419357,123.1900024,0.239999995,4.659999847
