index,altitude - sea level (m),latitude (degree),longitude (degree),yaw - north is zero (degree),roll (degree),pitch (degree)
1,114.0500031,49.25736237,-123.2431107,119.1200027,0.100000001,0.100000001
2,114.9499969,49.25736237,-123.2430954,119.0899963,-1.980000019,-7.869999886
3,114.9499969,49.25735855,-123.2430954,119.0100021,-2.289999962,-8.399999619
4,114.9599991,49.25735855,-123.2430878,112.6900024,-2.74000001,-9.81000042
5,114.9599991,49.25735855,-123.2430725,99,2.819999933,-12.60000038
6,114.9599991,49.25735855,-123.2430573,102.6299973,0.600000024,-13.98999977
7,114.9599991,49.25735474,-123.2430573,106.3499985,-1.480000019,-14.84000015
8,114.9700012,49.25735092,-123.2430496,106.5699997,-1.360000014,-15.06999969
9,114.9700012,49.25735092,-123.2430344,104.6900024,-0.090000004,-15.38000011
10,114.9700012,49.25734711,-123.2430115,103.3799973,0.529999971,-15.72000027
11,114.9700012,49.25734329,-123.2429962,103.5500031,0.270000011,-16.03000069
12,114.9700012,49.25733948,-123.242981,104.3399963,-0.25,-16.18000031
13,114.9700012,49.25733948,-123.2429733,104.7200012,-0.400000006,-16.37999916
14,114.9700012,49.25733948,-123.2429428,104.5500031,-0.200000003,-16.54999924
15,114.9700012,49.25733566,-123.2429276,104.2399979,0,-16.72999954
16,114.9800034,49.25733185,-123.2429047,104.1399994,-0.01,-16.84000015
17,114.9800034,49.25732803,-123.2428894,104.25,-0.050000001,-16.97999954
18,114.9800034,49.25732422,-123.2428818,104.3899994,-0.129999995,-17.04000092
19,114.9800034,49.2573204,-123.2428513,104.4300003,-0.180000007,-17.20000076
20,114.9800034,49.25731659,-123.2428284,104.4000015,-0.090000004,-17.36000061
21,114.9800034,49.25731659,-123.2428131,104.3700027,-0.100000001,-17.38999939
22,114.9800034,49.25731277,-123.2427902,104.3700027,-0.059999999,-17.40999985
23,114.9800034,49.25730896,-123.242775,104.4100037,-0.059999999,-17.55999947
24,114.9800034,49.25730515,-123.2427521,104.4499969,-0.119999997,-17.57999992
25,114.9800034,49.25729752,-123.2427368,104.4700012,-0.059999999,-17.63999939
26,114.9800034,49.25729752,-123.2427139,104.4899979,-0.059999999,-17.72999954
27,114.9800034,49.2572937,-123.242691,104.5,-0.07,-17.76000023
28,114.9800034,49.25728989,-123.2426758,104.5100021,0.01,-17.61000061
29,114.9800034,49.25728607,-123.2426529,104.5299988,-0.02,-17.04000092
30,114.9800034,49.25728226,-123.2426224,104.5500031,-0.090000004,-16.17000008
31,114.9800034,49.25727844,-123.2426147,104.5699997,-0.050000001,-15.27999973
32,114.9899979,49.25727844,-123.2425842,104.5999985,-0.029999999,-14.13000011
33,114.9899979,49.25727463,-123.2425766,104.6399994,0.050000001,-12.64000034
34,114.9899979,49.25727081,-123.2425461,104.7099991,0.050000001,-10.93000031
35,114.9899979,49.257267,-123.2425308,104.8000031,0.050000001,-8.890000343
36,114.9899979,49.25726318,-123.2425232,104.9400024,0.109999999,-7.130000114
37,114.9899979,49.25726318,-123.2425079,105.1299973,0.129999995,-5.340000153
38,114.9899979,49.25725937,-123.2424927,105.4000015,0.129999995,-3.349999905
39,114.9899979,49.25725937,-123.242485,105.8000031,0.180000007,-1.100000024
40,114.9899979,49.25725937,-123.2424698,106.2600021,0.230000004,1.669999957
41,114.9899979,49.25725555,-123.2424545,106.3799973,0.319999993,4.420000076
42,115,49.25725174,-123.2424545,106.0899963,3.930000067,-6.150000095
43,115,49.25725174,-123.2424469,106.1100006,4.260000229,-6.980000019
44,114.9899979,49.25724792,-123.2424469,106.1299973,4.440000057,-7.360000134
45,114.9899979,49.25724411,-123.2424469,110.8700027,6.059999943,-8.039999962
46,114.9800034,49.2572403,-123.2424316,130.25,2.660000086,-10.81999969
47,114.9800034,49.25723648,-123.2424316,147.1199951,-5.449999809,-12.05000019
48,114.9800034,49.25723267,-123.2424316,147.8099976,-5.21999979,-12.85000038
49,114.9899979,49.25722504,-123.2424164,139.75,-0.289999992,-14.75
