X,Y,Z
-2568059.742890502,-3561306.063296968,3402428.3241449515
-2568094.5407462884,-3561244.2295465204,3402428.3241449515
-2568079.067137487,-3561252.7974057905,3402407.744504357
-2568096.289430953,-3561221.880145419,3402407.744504357
-2568130.7255538674,-3561160.045002403,3402407.744504357
-2568165.1610785853,-3561098.2090307004,3402407.744504357
-2568149.686912731,-3561106.7764662313,3402387.164814252
-2568151.434047524,-3561084.4254039335,3402366.5850747116
-2568185.86826044,-3561022.587890939,3402366.5850747116
-2568222.043593913,-3560938.3969520973,3402346.005285583
-2568241.000994031,-3560885.123902123,3402325.425447021
-2568259.9573429027,-3560831.8496737164,3402304.84555891
-2568277.17286745,-3560800.928932292,3402304.84555891
-2568346.033471049,-3560677.2438933216,3402304.84555891
-2568364.986755061,-3560623.9660419766,3402284.265621289
-2568401.156967936,-3560539.7642565845,3402263.685634159
-2568420.1077466225,-3560486.4835599517,3402243.105597558
-2568421.8443080727,-3560464.125417891,3402222.52551137
-2568475.218764707,-3560348.994201296,3402201.9453756735
-2568511.3780490328,-3560264.7843546565,3402181.365190545
-2568545.8017239836,-3560202.933481813,3402181.365190545
-2568581.95789761,-3560118.7198797273,3402160.7849558704
-2568600.901406763,-3560065.4308467004,3402140.204671688
-2568637.0541202454,-3559981.213214268,3402119.6243379973
-2568640.516027295,-3559936.484869682,3402078.4635220952
-2568692.144377349,-3559843.699673577,3402078.4635220952
-2568728.2916244697,-3559759.4756478537,3402057.8830399215
-2568747.228669364,-3559706.1792570236,3402037.3025081656
-2568783.372456265,-3559621.9512012633,3402016.721926903
-2568836.72132849,-3559506.789392469,3401996.141296211
-2568838.447322602,-3559484.419879852,3401975.5606159754
-2568907.277186824,-3559360.6911209724,3401975.5606159754
-2568909.0017728526,-3559338.320074143,3401954.9798862347
-2568962.3422677647,-3559223.1481856992,3401934.3991069887
-2568981.2701862482,-3559169.841304427,3401913.818278277
-2568982.9925736813,-3559147.4679079303,3401893.237399983
-2569017.401383568,-3559085.5983753456,3401893.237399983
-2569036.3267968684,-3559032.288649101,3401872.656472186
-2569053.5305746053,-3559001.3530835817,3401872.656472186
-2569087.937681527,-3558939.4813309456,3401872.656472186
-2569106.8608354074,-3558886.168960404,3401852.075494962
-2569091.3814514307,-3558894.7291197595,3401831.4944681954
-2569108.5842741365,-3558863.792369628,3401831.4944681954
-2569093.0967291878,-3558872.352402783,3401810.9133919263
-2569077.613155422,-3558880.91238415,3401790.3322661542
-2569096.5301118987,-3558827.5977450046,3401769.7510909177
-2569081.0462541333,-3558836.157473989,3401749.169866102
-2569065.5623580515,-3558844.717151185,3401728.588591785
-2569069.001604698,-3558799.960357581,3401687.4258947223
-2569070.7186319022,-3558777.5813493854,3401666.844471978
-2569089.636106968,-3558724.2630630475,3401646.262999694
-2569043.1821738943,-3558749.940046244,3401584.518285879
-2569046.612893835,-3558705.1786707323,3401543.3548957356
-2569032.8425140465,-3558691.3558836207,3401502.1913077105
-2569036.270579076,-3558646.5918087903,3401461.027521654
-2569039.6970633115,-3558601.82610298,3401419.8635376063
-2569010.437883686,-3558596.5582458656,3401358.117190269
-2569029.34764633,-3558543.232063562,3401337.534975548
-2569017.2833929146,-3558507.0193013046,3401275.7880342947
-2568988.020380443,-3558501.747683656,3401214.040647548
-2568991.43940549,-3558456.974444962,3401172.8754756423
-2568979.369523674,-3558420.756061521,3401111.127346564
-2568965.5900043333,-3558406.9241976053,3401069.961679612
-2568953.5166808898,-3558370.702380987,3401008.212808148
-2568941.441170277,-3558334.478377316,3400946.4634912247
-2568927.658424537,-3558320.643309515,3400905.2970324913
-2568949.965146832,-3558222.5213505877,3400843.546973218
-2568953.3719713264,-3558177.7356858198,3400802.380019591
-2568924.100110854,-3558172.4514684808,3400740.6292180293
-2568912.014310457,-3558136.2171359044,3400678.8779710056
-2568899.9223138406,-3558099.9806164023,3400617.126278642
-2568886.1324009886,-3558086.1384305204,3400575.9582363055
-2568908.4197411304,-3557987.9966038065,3400514.2058016644
-2568879.136206044,-3557982.7048668386,3400452.4529217053
-2568867.0397937866,-3557946.4599020598,3400390.6995963217
-2568870.432775769,-3557901.660240293,3400349.530465347
-2568825.657398977,-3557904.9167938773,3400267.1916096588
-2568829.0471582226,-3557860.1139290505,3400226.0218848353
-2568816.9429312833,-3557823.861156894,3400164.2669266555
-2568803.143699784,-3557810.009717314,3400123.0967071536
-2568791.036031573,-3557773.753512441,3400061.3410067186
-2568809.9125996195,-3557720.393193632,3400040.7556742593
-2568780.6171299145,-3557715.089718002,3399978.9993801736
-2568783.9978508875,-3557670.2776903496,3399937.828270081
-2568802.8709320785,-3557616.9137248136,3399917.242640763
-2568787.3769915304,-3557625.464031648,3399896.656961971
-2568773.571848322,-3557611.6067198594,3399855.4854560755
-2568758.077689215,-3557620.1567969653,3399834.899628897
