index,altitude - sea level (m),latitude (degree),longitude (degree),yaw - north is zero (degree),roll (degree),pitch (degree)
1,105.1200027,-37.91399384,145.1376953,356.519989,0.07,0.090000004
2,105.9199982,-37.91399002,145.1376953,356.5100098,5.099999905,-5.559999943
3,105.9499969,-37.91398621,145.1376953,356.6700134,5.980000019,-6.46999979
4,105.9499969,-37.91398239,145.1376953,4.71999979,7.46999979,-7.289999962
5,105.9499969,-37.91397858,145.1377106,48.41999817,-6.170000076,-12.18999958
6,105.9599991,-37.91397095,145.1377106,50.86000061,-6.690000057,-12.55000019
7,105.9599991,-37.91396332,145.1377106,42.38000107,-1.429999948,-14.68000031
8,105.9599991,-37.9139595,145.1377258,34.54999924,2.630000114,-15.55000019
9,105.9700012,-37.91395187,145.1377258,33.95000076,2.279999971,-15.55000019
10,105.9700012,-37.91394424,145.1377411,37.68000031,-0.360000014,-15.90999985
11,105.9700012,-37.91393661,145.1377563,40.31000137,-1.879999995,-16.10000038
12,105.9700012,-37.91392517,145.1377563,39.93999863,-1.409999967,-16.25
13,105.9700012,-37.91391754,145.1377716,38.25999832,-0.449999988,-16.42000008
14,105.9700012,-37.91390991,145.1377716,37.34999847,-0.01,-16.59000015
15,105.9700012,-37.91390228,145.1377869,37.63999939,-0.25999999,-16.67000008
16,105.9700012,-37.91389084,145.1377869,38.27999878,-0.769999981,-16.84000015
17,105.9800034,-37.91388321,145.1378021,38.54000092,-0.939999998,-17.02000046
18,105.9800034,-37.91386795,145.1378174,38.36999893,-0.810000002,-17.07999992
19,105.9800034,-37.91386032,145.1378326,38.13999939,-0.579999983,-17.20999908
20,105.9800034,-37.91384888,145.1378326,38.11000061,-0.529999971,-17.28000069
21,105.9800034,-37.91384125,145.1378479,38.25999832,-0.589999974,-17.40999985
22,105.9800034,-37.91382599,145.1378632,38.41999817,-0.75,-17.45000076
23,105.9800034,-37.91381836,145.1378632,38.47000122,-0.709999979,-17.52000046
24,105.9800034,-37.91380692,145.1378784,38.47000122,-0.670000017,-17.53000069
25,105.9800034,-37.91379547,145.1378937,38.49000168,-0.699999988,-17.63999939
26,105.9800034,-37.91378403,145.1379089,38.54999924,-0.639999986,-17.75
27,105.9800034,-37.91377258,145.1379089,38.61999893,-0.709999979,-17.73999977
28,105.9800034,-37.91376495,145.1379242,38.68000031,-0.680000007,-17.72999954
29,105.9899979,-37.91374969,145.1379395,38.72000122,-0.689999998,-17.86000061
30,105.9899979,-37.91374207,145.1379395,38.75999832,-0.689999998,-17.81999969
31,105.9899979,-37.91372681,145.1379547,38.79999924,-0.639999986,-17.85000038
32,105.9899979,-37.91371918,145.13797,38.83000183,-0.689999998,-17.93000031
33,105.9899979,-37.91370392,145.1379852,38.86000061,-0.730000019,-17.95000076
34,105.9899979,-37.91369629,145.1380005,38.88000107,-0.660000026,-17.95999908
35,105.9800034,-37.91368484,145.1380005,38.90000153,-0.649999976,-18.01000023
36,105.9800034,-37.9136734,145.1380157,38.90999985,-0.74000001,-17.98999977
37,105.9800034,-37.91366196,145.1380157,38.90999985,-0.720000029,-18.04000092
38,105.9800034,-37.9136467,145.138031,38.90000153,-0.699999988,-18.10000038
39,105.9800034,-37.91363907,145.1380463,38.90000153,-0.629999995,-18.05999947
40,105.9800034,-37.91362381,145.1380615,38.93000031,-0.660000026,-18.05999947
41,105.9800034,-37.91361618,145.1380768,38.93999863,-0.689999998,-18.11000061
42,105.9800034,-37.91360474,145.138092,38.93999863,-0.660000026,-18.21999931
43,105.9800034,-37.91359329,145.138092,38.93000031,-0.670000017,-18.19000053
44,105.9800034,-37.91358185,145.1381073,38.93999863,-0.709999979,-18.17000008
45,105.9800034,-37.91356659,145.1381073,38.93000031,-0.709999979,-18.13999939
46,105.9800034,-37.91355896,145.1381226,38.91999817,-0.709999979,-18.15999985
47,105.9800034,-37.9135437,145.1381378,38.90999985,-0.670000017,-18.22999954
48,105.9800034,-37.91353607,145.1381531,38.90999985,-0.660000026,-18.17000008
49,105.9800034,-37.91352463,145.1381683,38.91999817,-0.660000026,-18.21999931
50,105.9800034,-37.91350937,145.1381836,38.91999817,-0.670000017,-18.23999977
51,105.9800034,-37.91350174,145.1381836,38.90999985,-0.649999976,-18.23999977
52,105.9800034,-37.91348648,145.1381989,38.90000153,-0.670000017,-18.23999977
53,105.9899979,-37.91347504,145.1382141,38.88999939,-0.660000026,-18.19000053
54,105.9899979,-37.91346741,145.1382294,38.88999939,-0.689999998,-18.32999992
55,105.9899979,-37.91345215,145.1382446,38.88000107,-0.649999976,-18.29999924
56,105.9899979,-37.91344452,145.1382599,38.86999893,-0.680000007,-18.25
57,105.9899979,-37.91342926,145.1382599,38.86999893,-0.709999979,-18.27000046
58,105.9899979,-37.91341782,145.1382599,38.86000061,-0.720000029,-18.29999924
59,105.9899979,-37.91340637,145.1382751,38.84000015,-0.75,-18.31999969
60,105.9899979,-37.91339493,145.1382904,38.81999969,-0.720000029,-18.30999947
61,105.9899979,-37.91338348,145.1383057,38.81000137,-0.75999999,-18.25
62,105.9899979,-37.91337204,145.1383209,38.79999924,-0.74000001,-18.20000076
63,105.9899979,-37.9133606,145.1383362,38.79999924,-0.660000026,-18.20999908
